"";"word";"n"
"151";"grado_di_utilizzare grado utilizzare";16
"152";"essere grado conoscere";15
"153";"studente avere capacità";15
"154";"studente saro grado";15
"155";"acquisire seguente capacità";14
"156";"dovere acquisire capacità";14
"157";"essere mettere grado";14
"158";"corso studente conoscere";13
"159";"essere grado capire";13
"160";"essere grado risolvere";13
"161";"studente acquisire seguente";12
"162";"studente sviluppare capacità";12
"163";"corso proporre sviluppare";11
"164";"essere grado effettuare";11
"165";"studente sapere orientare";11
"166";"studente sapere riconoscere";11
"167";"termine corso essere";11
"168";"corso studente avro";10
"169";"essere grado formulare";10
"170";"essere grado individuare";10
"171";"essere grado_di_orientarsi grado";10
"172";"grado_di_orientarsi grado orientarsi";10
"173";"acquisire capacità comprendere";9
"174";"analisi fonte do";9
"175";"avere acquisire competenza";9
"176";"corso studente studente";9
"177";"dovere acquisire buono";9
"178";"essere capace avvalere";9
"179";"essere grado interpretare";9
"180";"essere grado usare";9
"181";"fine corso studenti";9
"182";"studente dovere sapere";9
"183";"studente essere grado_di_orientarsi";9
"184";"studente sapere analizzare";9
"185";"acquisire buono padronanza";8
"186";"acquisire capacità analizzare";8
"187";"avere completare successo";8
"188";"buono padronanza strumento";8
"189";"conclusione corso studente";8
"190";"corso consentire studente";8
"191";"do termine corso";8
"192";"essere grado acquisire";8
"193";"essere grado inquadrare";8
"194";"fonte do termine";8
"195";"fornire necessario strumento";8
"196";"intendere fornire necessario";8
"197";"mettere grado analizzare";8
"198";"necessario strumento conoscitivo";8
"199";"studente avere conoscenza";8
"200";"studente avro acquisire";8
"201";"studente termine insegnamento";8
"202";"sviluppare capacità analisi";8
"203";"termine insegnamento dovere";8
"204";"applicare conoscenza acquisire";7
"205";"conoscitivo fonte discip";7
"206";"corso studente saro";7
"207";"corso studenti avere";7
"208";"essere grado identificare";7
"209";"essere grado sfruttare";7
"210";"grado comprendere meccanismo";7
"211";"padronanza strumento matem";7
"212";"patologia generale costituire";7
"213";"proporre sviluppare studente";7
"214";"strumento conoscitivo fonte";7
"215";"studente sapere progettare";7
